Title,Authors,Description,Category,Publisher,Publish Date,Price
The Day After Tomorrow,"By Folsom, Allan","The future of the thriller begins here. The time is now. In Paris, an American surgeon named Paul Osborn sees the man who murdered his father - and tries to kill him.In London, a renowned homicide detective from Los Angeles on assignment to Interpol investigates a baffling series of decapitations.In Geneva, a beautiful medical resident begins a love affair that will change her life forever.In New Mexico, a physical therapist is invited to accompany a very special patient back to Switzerland.And in Germany, a select group of industrialists prepares for a momentous celebration ...Deftly weaving together these disparate events, Allan Folsom reveals an international conspiracy of apocalyptic dimensions, a sinister cabal that will lead Paul Osborn on a heart-pounding chase across Europe - and keep you riveted, turning the pages long into the night. Here is the most stunning fictional debut of the decade, a roller coaster of a novel that will leave you breathless with excitement.From the jolt of the opening scene to the harrowing finale in the Swiss Alps, The Day After Tomorrow takes suspense fiction to a whole new level of intensity. It's an unforgettable adventure. A passionate love story. A titanic battle against evil. A novel that truly reinvents the thriller."," Fiction , General",Little Brown & Co,"Friday, April 1, 1994",Price Starting at $10.99
Just Do It: The Nike Spirit in the Corporate World,"By Katz, Donald R.",," Business & Economics , General",Adams Media Corp,"Saturday, April 1, 1995",Price Starting at $5.29
Learning to Bow: Inside the Heart of Japan,"By Feiler, Bruce S.","Learning to Bow has been heralded as one of the most insightful books about the clash of American and Japanese cultures. Bruce Feiler recounts the year he spent teaching inside Japan's renowned school system: watching boys and girls learn gender roles, experiencing the impact of strict school rules, and understanding the roots of Japan's business success."," Political Science , International Relations , General",Mariner Books,"Tuesday, September 1, 1992",Price Starting at $5.37
Licensed to Kill: Hired Guns in the War on Terror,"By Pelton, Robert Young","Robert Young Pelton first became aware of the phenomenon of hired guns in the War on Terror when he met a covert team of contractors on the Afghanistan/Pakistan border in the fall of 2003. Pelton soon embarked on a globe-spanning odyssey to penetrate and understand this shadowy world, ultimately delivering stunning insights into the way private soldiers are used.Enter a blood-soaked world of South African mercenaries and tribal fighters backed by ruthless financiers. Drop into Baghdad’s Green Zone, strap on body armor, and take a daily high-speed ride with a doomed crew of security contractors who dodge car bombs and snipers just to get their charges to the airport. Share a drink in a chic hotel bar with wealthy owners of private armies who debate the best way to stay alive in war zones.Licensed to Kill spans four continents and three years, taking us inside the CIA’s dirty wars; the brutal contractor murders in Fallujah and the Alamo-like sieges in Najaf and Al Kut; the Deep South contractor training camps where ex–Special Operations soldiers and even small town cops learn the ropes; the contractor conventions where macho attendees swap bullet-punctuated tales and discuss upcoming gigs; and the grim Central African prison where contractors turned failed mercenaries pay a steep price.The United States has encouraged the use of the private sector in all facets of the War on Terror, placing contractors outside the bounds of functional legal constraints. With the shocking clarity that can come only from firsthand observation, Licensed to Kill painstakingly deconstructs the most controversial events and introduces the pivotal players. Most disturbingly, it shows that there are indeed thousands of contractors—with hundreds more being produced every month—who’ve been given a license to kill, their services available to the highest bidder."," History , Military , General",Crown,"Tuesday, August 1, 2006",Price Starting at $5.41
Villages: A Novel,"By Updike, John","In this wry novel of sentimental education and sexual pursuit, we follow Owen Mackenzie, a representative man of the author’s generation, from cradle to grave, and from bed to bed. His life and relationships are shaped by three villages, warm-lit communities that keep the darkness at bay from within and without. In Willow, Pennsylvania, the young Owen is transfixed by his first glimpses of female beauty. In Middle Falls, Connecticut, he marries, becomes a first-wave computer programmer, and discovers the very grownup pleasures of serial adultery. Finally, married for a second time, he retires with his memories, illusions, and fantasies to the somewhat geriatric community of Haskells Crossing, Massachusetts. John Updike turns Owen’s personal odyssey into a radiant, sensual fable of the seasons of a man’s life—and of the getting of wisdom in America."," Fiction , Short Stories (single author)",Random House Trade Paperbacks,"Thursday, September 1, 2005",Price Starting at $5.29
Intensity,"By Koontz, Dean R.","In the space of 24 hours, self-proclaimed ""homicidal adventurer"" Edgar Foreman Vess sets out to murder everyone in the home of Chyna Shepherd. But a drive even stronger than survival spurs Chyna to unexpected heights of courage and daring, thrusting her into a deadly confrontation with a remorseless, relentless killing machine. HC: Alfred A. Knopf."," Fiction , Thrillers , General",Ballantine Books,"Sunday, September 1, 1996",Price Starting at $4.99
Demass: Transforming the Dinosaur Corporation,"By Stuckey, M. M.","Starting with the premise that giant corporations are more likely to go extinct than adjust to change, the author lays out a program to help slovenly dinosaur organizations evolve into responsive predatory wildcats. The core of his plan calls for de-centralization and prudently butchering the massive beast into smaller, autonomous profit centers. Not a new idea, but certainly the emphasis is deserving. Annotation copyright Book News, Inc. Portland, Or.",,Productivity Pr,"Friday, January 1, 1993",Price Starting at $7.04
Food & Wine Annual Cookbook 2008: An Entire Year of Recipes,"By Heddings, Kate (EDT)","Almost one million subscribers heartily agree: there’s always something delicious going on inFood & Wine. And it’s all here in the annual cookbook, which includes every recipe published in the magazine during 2007 more than 600 of them accompanied by scrumptious-looking photographs. The contributors remain absolutely stellar, cuisine’s finest, including such cookbook authors, chefs, and food luminaries as Jacques Pepin, Jean-Georges Vongerichten, Paula Wolfert, and Al Roker. Plus, this year’s volume is organized seasonally, so it’s even easier to find the right recipe for the right occasion. Mouthwatering dishes like Emeril Lagasse’s Shrimp-and-Corn Bisque, Mario Batali’s T-Bone Fiorentina with Sautéed Spinach, and Thomas Keller’s Over-the-Top Mushroom Quiche were tested on home appliances, making them easy to re-create and delicious to eat. In addition, the volume includes 50 brand-new test-kitchen tips, as well as an extensive glossary of accessible wines. Here’s real food that real people who want to eat well can actually prepare; recipes that reflect the many ways we cook today."," Cooking , Regional & Ethnic , American , General",American Express Publishing,"Tuesday, April 1, 2008",Price Starting at $8.79
"The Best of America's Test Kitchen 2007: The Year's Best Recipes, Equipment Reviews, and Tastings",By America's Test Kitchen,"Presents nearly one thousand recipes--from appetizers and salads to entrees and desserts--developed by America's Test Kitchen chefs, along with tips for choosing equipment, preparing food, or saving money in the kitchen."," Cooking , Courses & Dishes , General",Cook's Illustrated,"Friday, September 1, 2006",Price Starting at $10.99
Night Work: A Novel,"By Hamilton, Steve","Award-winning author of the acclaimed Alex McKnight series Steve Hamilton delivers his eagerly awaited, breakaway thriller with Night Work. Joe Trumbull is not a man who scares easily. As a juvenile probation officer in Kingston, New York, he’s half cop, half social worker to the most high-risk youth in the city. And when he’s not pounding the streets, trying to keep his kids out of jail, he’s pounding a heavy bag in the gym to stay in shape.  But tonight Joe Trumbull is scared to death.It’s been two years since his fiancée, Laurel, was brutally murdered. Two years of grief and loneliness. On this hot summer night, he’s finally going out on a blind date, his first date since Laurel’s death. He’s not looking for love, just testing the waters to see if it’s possible to live a normal life again. The thought of it is turning his knees to jelly.Marlene Frost is a beautiful woman. She’s warm and funny, with a smile to match. After the first awkward minutes, Joe finally starts to think this isn’t such a bad idea after all. In fact, maybe this blind date will turn out to be one of the best things that ever happened to him.He couldn’t be more wrong. Because somehow, for reasons Joe can barely understand, this one evening will mark the beginning of a new nightmare. A nightmare that will lead him to the faceless man in the shadows, and to the most terrible realization of all.…For Joe Trumbull, the past is never past. And the worst is yet to come."," Fiction , Mystery & Detective , General",Minotaur Books,"Saturday, September 1, 2007",Price Starting at $16.16
